marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,0,0.0000,1162.00,195.00,-0.000861,-0.025829,1.0000
M1,1,0.0167,1162.00,194.00,-0.000876,-0.026415,1.0000
M1,2,0.0333,1163.00,194.00,-0.001462,-0.026400,1.0000
M1,3,0.0500,1163.00,193.00,-0.001477,-0.026986,1.0000
M1,4,0.0667,1162.00,194.00,-0.000876,-0.026415,1.0000
M1,5,0.0833,1162.00,193.00,-0.000891,-0.027001,1.0000
M1,6,0.1000,1162.00,194.00,-0.000876,-0.026415,1.0000
M1,7,0.1167,1162.00,193.00,-0.000891,-0.027001,1.0000
M1,8,0.1333,1162.00,193.00,-0.000891,-0.027001,1.0000
M1,9,0.1500,1164.00,193.00,-0.002062,-0.026971,1.0000
M1,10,0.1667,1164.00,193.00,-0.002062,-0.026971,1.0000
M1,11,0.1833,1164.00,194.00,-0.002047,-0.026385,1.0000
M1,12,0.2000,1165.00,194.00,-0.002633,-0.026370,1.0000
M1,13,0.2167,1164.00,194.00,-0.002047,-0.026385,1.0000
M1,14,0.2333,1165.00,194.00,-0.002633,-0.026370,1.0000
M1,15,0.2500,1165.00,193.00,-0.002648,-0.026956,1.0000
M1,16,0.2667,1165.00,194.00,-0.002633,-0.026370,1.0000
M1,17,0.2833,1165.00,194.00,-0.002633,-0.026370,1.0000
M1,18,0.3000,1165.00,193.00,-0.002648,-0.026956,1.0000
M1,19,0.3167,1165.00,194.00,-0.002633,-0.026370,1.0000
M1,20,0.3333,1165.00,193.00,-0.002648,-0.026956,1.0000
M1,21,0.3500,1165.00,193.00,-0.002648,-0.026956,1.0000
M1,22,0.3667,1165.00,193.00,-0.002648,-0.026956,1.0000
M1,23,0.3833,1166.00,194.00,-0.003219,-0.026355,1.0000
M1,24,0.4000,1165.00,193.00,-0.002648,-0.026956,1.0000
M1,25,0.4167,1165.00,194.00,-0.002633,-0.026370,1.0000
M1,26,0.4333,1165.00,194.00,-0.002633,-0.026370,1.0000
M1,27,0.4500,1165.00,194.00,-0.002633,-0.026370,1.0000
M1,28,0.4667,1165.00,194.00,-0.002633,-0.026370,1.0000
M1,29,0.4833,1165.00,194.00,-0.002633,-0.026370,1.0000
M1,30,0.5000,1165.00,193.00,-0.002648,-0.026956,1.0000
