sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,0.5,0.16722222223,391.25918506582883,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.17999996063527307,0.001258159702166694,0.26385484005736265,0.049999519016018124,0.469379492430734,
mass,0.5,0.16722222223,391.25918506582883,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.10000056374627403,0.014440134398321458,0.03049144765961648,0.04999999999805794,3.8531243398073154,
mass,0.5,0.16722222223,391.25918506582883,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999020819335,0.014506482058462718,0.03043757775258575,0.05000000451476506,3.853106542651292,
mass,0.5,0.16722222223,391.25918506582883,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999000694193,0.014440684611552628,0.030490957185333234,0.04999999999999075,3.8531261475665737,
mass,0.5,0.16722222223,391.25918506582883,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.1799999989942346,0.0011172512918555335,0.2958670984554788,0.04999989645490788,0.41660675744062425,
mass,0.5,0.16722222223,391.25918506582883,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.10000003783826103,0.013222337049627712,0.03280970285508887,0.04999999999999953,3.490449730729777,
mass,0.5,0.16722222223,391.25918506582883,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.18000000969259763,0.0011172497370087228,0.2958677648598848,0.05000000491637413,0.4166068837861285,
mass,0.5,0.16722222223,391.25918506582883,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.10000041333055153,0.013222187317168444,0.032809873093775734,0.04999999999882784,3.4904487634534953,
mass,0.5,0.16722222223,391.25918506582883,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999411332826,0.012379563513507863,0.034747168433403294,0.05000000379902422,3.226438071768114,
mass,0.5,0.16722222223,391.25918506582883,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999001959943,0.012334870613613026,0.034794425429222994,0.04999999999999802,3.2264485737678124,
mass,0.5,0.16722222223,391.25918506582883,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.10000000951906679,0.01500000926799403,0.0326065942543843,0.05000000653944561,3.1971299302252474,
mass,0.5,0.16722222223,391.25918506582883,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999211371213,0.012339163067152194,0.03478986908295081,0.05000000442650105,3.2264485295784673,
mass,0.5,0.16722222223,391.25918506582883,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.10000004107760578,0.011645190973106623,0.03655029349241189,0.04999999983927607,3.021890772568453,
mass,0.5,0.16722222223,391.25918506582883,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999002175773,0.011645201820601825,0.03655027657480075,0.04999999999982231,3.0218908851905364,
mass,0.5,0.16722222223,391.25918506582883,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.18000000996074683,0.0009999985642734524,0.3294973236434019,0.05000000486721015,0.3723873258969612,
mass,0.5,0.16722222223,391.25918506582883,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999316563818,0.011645201176784864,0.03655027758941477,0.049999999999630104,3.0218908791825085,
mass,0.5,0.16722222223,391.25918506582883,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,False,nan,nan,nan,nan,nan,Error in Opti::solve [OptiNode] at .../casadi/core
mass,0.5,0.16722222223,391.25918506582883,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999002535644,0.011085731296618506,0.038138039819683896,0.04999999999999641,2.856609761795798,
mass,0.5,0.16722222223,391.25918506582883,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999158064476,0.011085731045516571,0.03813804027270963,0.05000000000000002,2.8566097591697353,
mass,0.5,0.16722222223,391.25918506582883,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999001294586,0.011085731298638312,0.038138039816048935,0.04999999999999998,2.8566097618170727,
mass,0.5,0.16722222223,391.25918506582883,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999002829672,0.010617766181083912,0.039596381647700726,0.050000004993864686,2.718981973062244,
