sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,2.0,0.66888888892,1565.0367402633153,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999063821635,0.010717693732254464,0.019005490130031902,0.07999999999944948,11.757979026571764,
mass,2.0,0.66888888892,1565.0367402633153,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999001942253,0.010717694055195242,0.019005489872030868,0.07999999999999992,11.757979033114857,
mass,2.0,0.66888888892,1565.0367402633153,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999001817863,0.010717694055217114,0.019005489871923915,0.07999999999860204,11.757979032801195,
mass,2.0,0.66888888892,1565.0367402633153,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999001917817,0.010717694055309266,0.01900548987193916,0.08000000000000132,11.75797903311831,
mass,2.0,0.66888888892,1565.0367402633153,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999047046518,0.009758651006618466,0.02032738540638201,0.07999999999994126,10.726964531365168,
mass,2.0,0.66888888892,1565.0367402633153,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.1599999900225478,0.009758651189874307,0.020327385233824255,0.07999999999965336,10.72696453526996,
mass,2.0,0.66888888892,1565.0367402633153,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999214098684,0.00975865032181823,0.020327386051059868,0.07999999999999172,10.726964516630094,
mass,2.0,0.66888888892,1565.0367402633153,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.16000000017238314,0.009758647008161224,0.020327389168531423,0.07999999998819651,10.72696444419067,
mass,2.0,0.66888888892,1565.0367402633153,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999016243813,0.009075427984466514,0.02143612814127388,0.0799999999999925,9.974594104364009,
mass,2.0,0.66888888892,1565.0367402633153,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.16000007562214238,0.009075398956348336,0.021436159204465247,0.07999999985164166,9.974593412138805,
mass,2.0,0.66888888892,1565.0367402633153,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999002560777,0.009075428030910932,0.021436128091560473,0.08000000000000007,9.974594105426924,
mass,2.0,0.66888888892,1565.0367402633153,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999009236338,0.009075428008241444,0.021436128115823024,0.07999999999996359,9.97459410490192,
mass,2.0,0.66888888892,1565.0367402633153,0.09655172413793103,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999047316604,0.00855445345628845,0.02239955664054315,0.08000000000000256,9.3909470783081,
mass,2.0,0.66888888892,1565.0367402633153,0.09655172413793103,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999002891435,0.008554453585068001,0.02239955648729678,0.07999999999988479,9.390947081374554,
mass,2.0,0.66888888892,1565.0367402633153,0.09655172413793103,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999002849033,0.008554453553070763,0.022399556516225782,0.07999999987999558,9.390947060246083,
mass,2.0,0.66888888892,1565.0367402633153,0.09655172413793103,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999299303908,0.008554452217478619,0.022399558051885364,0.0799999999942086,9.390947059564118,
mass,2.0,0.66888888892,1565.0367402633153,0.11206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.1599999900318008,0.008138751751480348,0.02325676073476467,0.08000000000039204,8.91920634455787,
mass,2.0,0.66888888892,1565.0367402633153,0.11206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.1599999900317901,0.008138751751262208,0.023256760735038677,0.08000000000069389,8.919206344624795,
mass,2.0,0.66888888892,1565.0367402633153,0.11206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999003140378,0.008138751751915684,0.023256760733414032,0.07999999998232736,8.919206341270451,
mass,2.0,0.66888888892,1565.0367402633153,0.11206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1599999900314035,0.008138751751534548,0.023256760734656802,0.07999999999999986,8.91920634449207,
mass,2.0,0.66888888892,1565.0367402633153,0.12758620689655173,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999003453225,0.007796101022791695,0.024032490851336026,0.07999999999993306,8.526483475180308,
mass,2.0,0.66888888892,1565.0367402633153,0.12758620689655173,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.1599999900338007,0.007796101022944052,0.02403249085105618,0.07999999999860055,8.526483474949249,
mass,2.0,0.66888888892,1565.0367402633153,0.12758620689655173,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999065290374,0.007796100883132147,0.024032491048021777,0.08000000000013427,8.526483471650165,
mass,2.0,0.66888888892,1565.0367402633153,0.12758620689655173,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999003386864,0.00779610102196588,0.02403249085234434,0.07999999999977941,8.526483475209195,
mass,2.0,0.66888888892,1565.0367402633153,0.14310344827586208,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999003093368,0.00750668996154301,0.024743489405108655,0.0800000004716456,8.192171711200482,
mass,2.0,0.66888888892,1565.0367402633153,0.14310344827586208,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.1599999926925203,0.00750668946325856,0.024743490107271053,0.0799999999982294,8.19217167711348,
mass,2.0,0.66888888892,1565.0367402633153,0.14310344827586208,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.1600000185042058,0.007506684276696133,0.024743497950456047,0.07999999999719007,8.192171537729362,
mass,2.0,0.66888888892,1565.0367402633153,0.14310344827586208,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999568333748,0.007506688859502666,0.02474349101987633,0.08000000000041446,8.19217166136293,
mass,2.0,0.66888888892,1565.0367402633153,0.1586206896551724,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.1599999900398483,0.007257559486170986,0.025401652957104802,0.07999999995762812,7.902577941187143,
mass,2.0,0.66888888892,1565.0367402633153,0.1586206896551724,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999003993529,0.007257559509901834,0.025401652925930607,0.07999999999999997,7.9025779465574555,
mass,2.0,0.66888888892,1565.0367402633153,0.1586206896551724,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.1599999906398829,0.00725755938964616,0.02540165311906488,0.08000000002028856,7.90257794730149,
mass,2.0,0.66888888892,1565.0367402633153,0.1586206896551724,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1599999909408062,0.007257559345923403,0.0254016531900215,0.07999999999739967,7.90257794158161,
mass,2.0,0.66888888892,1565.0367402633153,0.17413793103448277,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.1599999914625537,0.0070398174024319405,0.02601576395746059,0.07999999999492322,7.648180395277967,
mass,2.0,0.66888888892,1565.0367402633153,0.17413793103448277,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999124562442,0.007039817434437368,0.026015763904112824,0.08000000002324428,7.648180400803304,
mass,2.0,0.66888888892,1565.0367402633153,0.17413793103448277,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999004201898,0.0070398176377191694,0.026015763555751286,0.07999999999937915,7.648180402707586,
mass,2.0,0.66888888892,1565.0367402633153,0.17413793103448277,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999004201468,0.007039817637782907,0.026015763555689676,0.07999999999999974,7.648180402796343,
mass,2.0,0.66888888892,1565.0367402633153,0.1896551724137931,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.1600000732939823,0.006847029655418509,0.02659265575113343,0.0799999998956715,7.422113195469157,
mass,2.0,0.66888888892,1565.0367402633153,0.1896551724137931,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.1599999921551853,0.0068471251566435045,0.026592505784553126,0.07999999843163869,7.422113384642347,
mass,2.0,0.66888888892,1565.0367402633153,0.1896551724137931,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999217740224,0.006847126170141982,0.026592504302345936,0.07999999999151071,7.422113560240619,
mass,2.0,0.66888888892,1565.0367402633153,0.1896551724137931,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999027871648,0.006847126463513084,0.026592503775284007,0.07999999999998296,7.422113569989568,
mass,2.0,0.66888888892,1565.0367402633153,0.20517241379310347,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999207449442,0.006674825936384766,0.02713708685739931,0.08000000000462383,7.219278648211259,
mass,2.0,0.66888888892,1565.0367402633153,0.20517241379310347,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999113626023,0.0066748260734190105,0.02713708659856148,0.07999999999270087,7.219278650387579,
mass,2.0,0.66888888892,1565.0367402633153,0.20517241379310347,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999015949354,0.006674826212232271,0.027137086336477868,0.07999999999998433,7.219278655563238,
mass,2.0,0.66888888892,1565.0367402633153,0.20517241379310347,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999993793831,0.006674824899248677,0.02713708883050896,0.07999999978173637,7.2192785795693855,
mass,2.0,0.66888888892,1565.0367402633153,0.2206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.160000494425579,0.006519335280045093,0.027653793423294153,0.07999999987247411,7.035792491310811,
mass,2.0,0.66888888892,1565.0367402633153,0.2206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999005013282,0.006519401097853665,0.02765366282985024,0.07999999999411324,7.035794534998447,
mass,2.0,0.66888888892,1565.0367402633153,0.2206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.1599999937531883,0.006519400574535896,0.02765366384963873,0.07999999988990461,7.035794505795394,
mass,2.0,0.66888888892,1565.0367402633153,0.2206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.16000005769800926,0.006518476474875126,0.027655204191862622,0.07999999994785528,7.035794229885792,
mass,2.0,0.66888888892,1565.0367402633153,0.2362068965517241,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999005256174,0.006378140098003933,0.028145597827926232,0.07999999999884343,6.868644792058196,
mass,2.0,0.66888888892,1565.0367402633153,0.2362068965517241,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999005252707,0.00637814009786685,0.028145597828223807,0.07999999999999363,6.8686447922238,
mass,2.0,0.66888888892,1565.0367402633153,0.2362068965517241,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999063235104,0.006378140027330704,0.02814559797444177,0.07999999999999999,6.868644790005161,
mass,2.0,0.66888888892,1565.0367402633153,0.2362068965517241,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999032311904,0.006378140062643173,0.028145597900119793,0.07999999999431594,6.8686447904143195,
mass,2.0,0.66888888892,1565.0367402633153,0.2517241379310345,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999785872762,0.006248912438457118,0.02861566119256356,0.07999999999987897,6.715442806598579,
mass,2.0,0.66888888892,1565.0367402633153,0.2517241379310345,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999005494867,0.0062489133261703165,0.028615659274519305,0.07999999999997519,6.71544283516799,
mass,2.0,0.66888888892,1565.0367402633153,0.2517241379310345,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.1599999900916067,0.006248913321687048,0.028615659284044758,0.07999999999918445,6.715442834945632,
mass,2.0,0.66888888892,1565.0367402633153,0.2517241379310345,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.16000016280660148,0.006248890876999397,0.028615706716364004,0.07999999994375541,6.715442201143775,
mass,2.0,0.66888888892,1565.0367402633153,0.2672413793103448,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999005734739,0.0061300201303012445,0.029066154155488737,0.07999999999994725,6.574270951877093,
mass,2.0,0.66888888892,1565.0367402633153,0.2672413793103448,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999005353238,0.0061300201301691505,0.029066154155526654,0.07999999999928953,6.574270951802658,
mass,2.0,0.66888888892,1565.0367402633153,0.2672413793103448,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,False,nan,nan,nan,nan,nan,Error in Opti::solve [OptiNode] at .../casadi/core
