time_us,time_ms,angle,vel,vbat,set_volts
1105,1.105,4.661863327026367,0.0,7.890167236328125,-1.0
1925,1.925,4.661863327026367,0.0,7.8898773193359375,-1.0
2710,2.71,4.658795356750488,-0.655120849609375,7.854156494140625,-1.0
3709,3.709,4.617281913757324,-15.403091430664062,7.7880401611328125,-1.0
4625,4.625,4.536844253540039,-38.321746826171875,7.75537109375,-1.0
5543,5.543,4.444900989532471,-57.5726318359375,7.7518463134765625,-1.0
6484,6.484,4.326113700866699,-79.10714721679688,7.7573089599609375,-1.0
7450,7.45,4.18795919418335,-100.4765625,7.7573089599609375,-1.0
8387,8.387,4.040217876434326,-117.71304321289062,7.770477294921875,-1.0
9385,9.385,3.893339157104492,-127.37242126464844,7.7803192138671875,-1.0
10451,10.451,3.7504873275756836,-133.314208984375,7.7855377197265625,-1.0
11400,11.4,3.6119494438171387,-135.18020629882812,7.7886962890625,-1.0
12334,12.334,3.4807941913604736,-133.63787841796875,7.788665771484375,-1.0
13297,13.297,3.3641157150268555,-127.87672424316406,7.7828216552734375,-1.0
14272,14.272,3.258942127227783,-118.57754516601562,7.7747955322265625,-1.0
15291,15.291,3.171792984008789,-108.10073852539062,7.765533447265625,-1.0
16265,16.265,3.0949978828430176,-97.27964782714844,7.754608154296875,-1.0
17248,17.248,3.0313377380371094,-85.72483825683594,7.743255615234375,-1.0
18216,18.216,2.9752516746520996,-75.12751770019531,7.733123779296875,-1.0
19180,19.18,2.9265477657318115,-75.12751770019531,7.7250823974609375,-1.0
20331,20.331,2.8899240493774414,-55.43666076660156,7.7060089111328125,-1.0
21448,21.448,2.8518619537353516,-49.246368408203125,7.696685791015625,-1.0
22416,22.416,2.8153340816497803,-44.70741271972656,7.69012451171875,-1.0
23376,23.376,2.781778335571289,-40.26490783691406,7.69012451171875,-1.0
24321,24.321,2.7483184337615967,-37.76029968261719,7.6851043701171875,-1.0
25271,25.271,2.7133243083953857,-37.092437744140625,7.6822052001953125,-1.0
26241,26.241,2.675358295440674,-37.52052307128906,7.68145751953125,-1.0
27210,27.21,2.6357624530792236,-38.32548522949219,7.6803741455078125,-1.0
28167,28.167,2.599330425262451,-37.649566650390625,7.679779052734375,-1.0
29170,29.17,2.5643365383148193,-36.726776123046875,7.6798248291015625,-1.0
30216,30.216,2.5293426513671875,-36.13322448730469,7.6782684326171875,-1.0
31233,31.233,2.492814540863037,-36.30638122558594,7.6768951416015625,-1.0
32203,32.203,2.4546568393707275,-37.05793762207031,7.6758270263671875,-1.0
33209,33.209,2.416403293609619,-37.44392395019531,7.6755523681640625,-1.0
34217,34.217,2.3734517097473145,-39.51057434082031,7.676910400390625,-1.0
35198,35.198,2.3257064819335938,-42.10932922363281,7.6774444580078125,-1.0
36168,36.168,2.273167848587036,-45.84284973144531,7.678985595703125,-1.0
37173,37.173,2.2156434059143066,-50.02870178222656,7.6827392578125,-1.0
38143,38.143,2.151599884033203,-55.199554443359375,7.6883392333984375,-1.0
39142,39.142,2.0825705528259277,-59.57868957519531,7.693756103515625,-1.0
40123,40.123,2.0087478160858154,-65.22029113769531,7.6994476318359375,-1.0
41120,41.12,1.9275426864624023,-71.17022705078125,7.704864501953125,-1.0
42108,42.108,1.839242935180664,-76.86953735351562,7.7081298828125,-1.0
43114,43.114,1.7410681247711182,-84.7083740234375,7.711029052734375,-1.0
44108,44.108,1.6372368335723877,-84.7083740234375,7.7193603515625,-1.0
45054,45.054,1.5234346389770508,-91.73478698730469,7.729705810546875,-1.0
45968,45.968,1.39870285987854,-99.16586303710938,7.73712158203125,-1.0
46999,46.999,1.2651506662368774,-108.67367553710938,7.74639892578125,-1.0
47985,47.985,1.1243120431900024,-117.57460021972656,7.755279541015625,-1.0
48943,48.943,1.1243120431900024,-126.10142517089844,7.7655792236328125,-1.0
49940,49.94,0.8211590051651001,-134.4269256591797,7.7739715576171875,-1.0
50942,50.942,0.8211590051651001,-141.54986572265625,7.779052734375,-1.0
51870,51.87,0.6643095016479492,-147.16644287109375,7.7842864990234375,-1.0
52878,52.878,0.34485793113708496,-151.3145294189453,7.7893829345703125,-1.0
53903,53.903,0.34485793113708496,-154.4554443359375,7.794189453125,-1.0
54873,54.873,0.18369412422180176,-156.83253479003906,7.7985382080078125,-1.0
55854,55.854,0.019749879837036133,-159.31471252441406,7.801422119140625,-1.0
56673,56.673,-0.14544057846069336,-161.3994903564453,7.803070068359375,-1.0
57549,57.549,-0.3131239414215088,-163.62779235839844,7.8056793212890625,-1.0
58437,58.437,-0.482724666595459,-165.76577758789062,7.8080902099609375,-1.0
59404,59.404,-0.6511750221252441,-166.69383239746094,7.81060791015625,-1.0
60340,60.34,-0.8204879760742188,-166.98146057128906,7.812042236328125,-1.0
61316,61.316,-0.9920063018798828,-168.9599151611328,7.8139801025390625,-1.0
62290,62.29,-1.168797492980957,-170.34068298339844,7.8139801025390625,-1.0
