time_us,time_ms,angle,vel,vbat,set_volts
1113,1.113,0.23680830001831055,0.203155517578125,8.003738403320312,-4.0
1996,1.996,0.22472810745239258,0.1353607177734375,8.002975463867188,-4.0
2994,2.994,0.11869168281555176,-4.227081298828125,7.7613677978515625,-4.0
3973,3.973,-0.05800366401672363,-40.77850341796875,7.21942138671875,-4.0
4987,4.987,-0.31437015533447266,-88.39338684082031,6.862579345703125,-4.0
5994,5.994,-0.6317126750946045,-150.1429443359375,6.7874908447265625,-4.0
6945,6.945,-0.9939236640930176,-209.7528839111328,6.7938385009765625,-4.0
7921,7.921,-1.4214248657226562,-263.579345703125,6.8417510986328125,-4.0
8903,8.903,-1.884495735168457,-321.979248046875,6.9113922119140625,-4.0
9915,9.915,-2.3932018280029297,-371.81085205078125,6.99102783203125,-4.0
11003,11.003,-2.9439010620117188,-420.7620849609375,7.0705108642578125,-4.0
11950,11.95,-3.5261425971984863,-467.881591796875,7.1525115966796875,-4.0
12952,12.952,-4.142035961151123,-509.19488525390625,7.2270355224609375,-4.0
13891,13.891,-4.142035961151123,-546.7562255859375,7.2971954345703125,-4.0
14681,14.681,-4.77806282043457,-579.0812377929688,7.3548736572265625,-4.0
15565,15.565,-5.4375786781311035,-607.5460815429688,7.40704345703125,-4.0
16402,16.402,-6.1099419593811035,-631.223388671875,7.455810546875,-4.0
17333,17.333,-6.802438259124756,-652.8016357421875,7.4984588623046875,-4.0
18277,18.277,-7.528777599334717,-673.124267578125,7.4984588623046875,-4.0
19238,19.238,-8.233354568481445,-690.5633544921875,7.5357666015625,-4.0
20205,20.205,-8.95787239074707,-702.922607421875,7.5648040771484375,-4.0
21176,21.176,-9.690732955932617,-713.5298461914062,7.5882720947265625,-4.0
22136,22.136,-10.436151504516602,-725.22412109375,7.6068878173828125,-4.0
23142,23.142,-11.183391571044922,-733.1686401367188,7.617919921875,-4.0
24086,24.086,-11.93753433227539,-741.050537109375,7.6233367919921875,-4.0
25086,25.086,-12.690143585205078,-744.6802978515625,7.6338348388671875,-4.0
26055,26.055,-13.462503433227539,-744.6802978515625,7.644134521484375,-4.0
26994,26.994,-14.239656448364258,-754.6751708984375,7.6623382568359375,-4.0
27963,27.963,-15.014604568481445,-762.24365234375,7.685638427734375,-4.0
28919,28.919,-15.79290771484375,-767.114501953125,7.6970672607421875,-4.0
29919,29.919,-16.57715606689453,-771.8181762695312,7.7070465087890625,-4.0
30909,30.909,-17.356992721557617,-776.3046875,7.7111663818359375,-4.0
31890,31.89,-18.140186309814453,-776.97119140625,7.6969757080078125,-4.0
32877,32.877,-18.140186309814453,-779.1827392578125,7.68707275390625,-4.0
33740,33.74,-18.939678192138672,-780.5465087890625,7.69427490234375,-4.0
34568,34.568,-19.71596908569336,-784.56103515625,7.7090606689453125,-4.0
35443,35.443,-20.511913299560547,-789.9834594726562,7.7247161865234375,-4.0
36306,36.306,-21.31456756591797,-793.921875,7.740234375,-4.0
37239,37.239,-22.120195388793945,-798.2078857421875,7.740234375,-4.0
38171,38.171,-22.929275512695312,-802.151123046875,7.754913330078125,-4.0
39149,39.149,-23.72943687438965,-801.9277954101562,7.7540283203125,-4.0
40128,40.128,-24.532859802246094,-802.1346435546875,7.7392425537109375,-4.0
41096,41.096,-25.34059715270996,-804.3514404296875,7.72869873046875,-4.0
42064,42.064,-26.165111541748047,-811.3416748046875,7.738494873046875,-4.0
43074,43.074,-26.992694854736328,-817.419189453125,7.765716552734375,-4.0
44043,44.043,-27.819414138793945,-820.5784301757812,7.7897491455078125,-4.0
45011,45.011,-28.649776458740234,-824.570068359375,7.8060302734375,-4.0
45986,45.986,-29.48685073852539,-824.570068359375,7.8177947998046875,-4.0
46907,46.907,-30.320667266845703,-828.8446044921875,7.818511962890625,-4.0
48012,48.012,-31.148822784423828,-830.4325561523438,7.8107452392578125,-4.0
49165,49.165,-31.990402221679688,-833.712646484375,7.8055419921875,-4.0
50123,50.123,-32.84349060058594,-839.8992919921875,7.8192596435546875,-4.0
51133,51.133,-33.69667053222656,-844.6503295898438,7.8440399169921875,-4.0
52092,52.092,-34.55560302734375,-849.523193359375,7.859588623046875,-4.0
53068,53.068,-35.4189453125,-855.360595703125,7.8769989013671875,-4.0
54058,54.058,-36.277015686035156,-855.8900146484375,7.889923095703125,-4.0
55058,55.058,-37.13259506225586,-856.15576171875,7.8785247802734375,-4.0
55997,55.997,-37.99526596069336,-858.3162841796875,7.864166259765625,-4.0
56966,56.966,-38.87030792236328,-858.3162841796875,7.8733673095703125,-4.0
57922,57.922,-39.742950439453125,-864.4666748046875,7.8961029052734375,-4.0
58920,58.92,-40.633907318115234,-867.6646728515625,7.908905029296875,-4.0
59913,59.913,-41.49408721923828,-868.6015625,7.9173736572265625,-4.0
60858,60.858,-42.365482330322266,-872.845947265625,7.9279632568359375,-4.0
61860,61.86,-43.234771728515625,-871.9617919921875,7.917083740234375,-4.0
62859,62.859,-44.10760498046875,-871.7269287109375,7.8951873779296875,-4.0
63828,63.828,-44.10760498046875,-871.3341064453125,7.897491455078125,-4.0
64742,64.742,-44.99462890625,-877.0717163085938,7.9213104248046875,-4.0
65562,65.562,-45.875999450683594,-880.1036376953125,7.9331512451171875,-4.0
66431,66.431,-46.77433395385742,-879.099365234375,7.9384613037109375,-4.0
67331,67.331,-47.63835144042969,-881.0545654296875,7.945648193359375,-4.0
68218,68.218,-48.520774841308594,-880.9525756835938,7.9377593994140625,-4.0
69180,69.18,-49.41987609863281,-880.3201904296875,7.9377593994140625,-4.0
70141,70.141,-50.2730598449707,-878.0736694335938,7.9169158935546875,-4.0
71068,71.068,-51.163150787353516,-882.5082397460938,7.90838623046875,-4.0
72025,72.025,-52.05113220214844,-884.7105712890625,7.926177978515625,-4.0
73014,73.014,-52.93413162231445,-884.5322265625,7.9412841796875,-4.0
74037,74.037,-53.82365036010742,-885.9367065429688,7.9463348388671875,-4.0
75014,75.014,-54.71144104003906,-886.6178588867188,7.956329345703125,-4.0
75983,75.983,-55.59175491333008,-884.2587890625,7.95068359375,-4.0
77009,77.009,-56.46497344970703,-880.5934448242188,7.9230499267578125,-4.0
77983,77.983,-57.357078552246094,-884.486572265625,7.908935546875,-4.0
78977,78.977,-58.248512268066406,-887.0604248046875,7.9252166748046875,-4.0
79971,79.971,-59.135536193847656,-887.42138671875,7.9411468505859375,-4.0
80890,80.89,-60.0291748046875,-887.42138671875,7.949127197265625,-4.0
81875,81.875,-60.92118453979492,-889.0021362304688,7.9642333984375,-4.0
82875,82.875,-61.82210922241211,-890.51953125,7.95745849609375,-4.0
83838,83.838,-62.67673110961914,-886.2548828125,7.9282684326171875,-4.0
84834,84.834,-63.56807327270508,-882.9468994140625,7.9165802001953125,-4.0
85761,85.761,-64.46141815185547,-885.697998046875,7.929840087890625,-4.0
86730,86.73,-65.35035705566406,-888.2711181640625,7.941802978515625,-4.0
87757,87.757,-66.24543762207031,-888.7479858398438,7.946502685546875,-4.0
88726,88.726,-66.24543762207031,-890.6767578125,7.959197998046875,-4.0
89655,89.655,-67.14022827148438,-892.4939575195312,7.9579620361328125,-4.0
90523,90.523,-68.02130889892578,-888.3524169921875,7.93011474609375,-4.0
91356,91.356,-68.9190673828125,-884.5003662109375,7.9114227294921875,-4.0
92244,92.244,-69.787109375,-886.0198974609375,7.926849365234375,-4.0
93152,93.152,-70.68209075927734,-888.8507690429688,7.945404052734375,-4.0
94096,94.096,-71.57238006591797,-888.7772216796875,7.945404052734375,-4.0
95037,95.037,-72.4648666381836,-890.6486206054688,7.953765869140625,-4.0
