time_us,time_ms,angle,vel,vbat,set_volts
1115,1.115,0.0,-0.032989501953125,7.6873016357421875,5.0
1912,1.912,0.0,-0.02301025390625,7.671539306640625,5.0
2785,2.785,0.0409393310546875,14.768692016601562,7.15142822265625,5.0
3742,3.742,0.23834228515625,79.78160095214844,6.5227203369140625,5.0
4666,4.666,0.5347900390625,154.06964111328125,6.5227203369140625,5.0
5601,5.601,0.8507843017578125,215.8550567626953,6.2744903564453125,5.0
6546,6.546,1.2407989501953125,277.19207763671875,6.1101531982421875,5.0
7502,7.502,1.681640625,335.3974609375,6.0272064208984375,5.0
8434,8.434,2.213348388671875,405.7069091796875,5.9781341552734375,5.0
9410,9.41,2.79376220703125,467.2374267578125,6.0241851806640625,5.0
10463,10.463,3.430755615234375,527.7498779296875,6.125,5.0
11427,11.427,4.1217193603515625,586.279541015625,6.226715087890625,5.0
12403,12.403,4.8631134033203125,641.3898315429688,6.3474273681640625,5.0
13372,13.372,5.6485137939453125,641.3898315429688,6.4680633544921875,5.0
14304,14.304,6.4660186767578125,693.1539306640625,6.571014404296875,5.0
15282,15.282,7.3083648681640625,738.4468383789062,6.676116943359375,5.0
16257,16.257,8.188400268554688,775.6416015625,6.780029296875,5.0
17233,17.233,8.188400268554688,811.9793090820312,6.873260498046875,5.0
18149,18.149,9.093734741210938,845.940185546875,6.9580230712890625,5.0
19014,19.014,10.03387451171875,871.6329345703125,7.02349853515625,5.0
19899,19.899,10.947738647460938,894.242919921875,7.072479248046875,5.0
20720,20.72,11.910125732421875,918.45556640625,7.136199951171875,5.0
21663,21.663,12.87969970703125,937.129638671875,7.1876220703125,5.0
22624,22.624,13.85272216796875,950.2085571289062,7.1876220703125,5.0
23547,23.547,14.856414794921875,970.198486328125,7.2228851318359375,5.0
24524,24.524,15.867691040039062,984.3717041015625,7.2715301513671875,5.0
25475,25.475,16.865554809570312,988.961181640625,7.304962158203125,5.0
26450,26.45,17.884780883789062,999.4638671875,7.3133392333984375,5.0
27444,27.444,18.923477172851562,1013.0833740234375,7.3388214111328125,5.0
28443,28.443,19.952117919921875,1019.70751953125,7.3752899169921875,5.0
