marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,0,0.0000,523.00,861.00,0.056343,-0.000229,1.0000
M1,1,0.0261,522.00,861.00,0.056346,-0.000362,1.0000
M1,2,0.0522,522.00,861.00,0.056346,-0.000362,1.0000
M1,3,0.0784,522.00,861.00,0.056346,-0.000362,1.0000
M1,4,0.1045,522.00,861.00,0.056346,-0.000362,1.0000
M1,5,0.1306,523.00,861.00,0.056343,-0.000229,1.0000
M1,6,0.1567,523.00,862.00,0.056475,-0.000226,1.0000
M1,7,0.1829,523.00,862.00,0.056475,-0.000226,1.0000
M1,8,0.2090,522.00,862.00,0.056478,-0.000359,1.0000
M1,9,0.2351,522.00,862.00,0.056478,-0.000359,1.0000
M1,10,0.2612,522.00,862.00,0.056478,-0.000359,1.0000
M1,11,0.2873,522.00,862.00,0.056478,-0.000359,1.0000
M1,12,0.3135,523.00,862.00,0.056475,-0.000226,1.0000
M1,13,0.3396,523.00,861.00,0.056343,-0.000229,1.0000
M1,14,0.3657,523.00,860.00,0.056210,-0.000232,1.0000
M1,15,0.3918,522.00,861.00,0.056346,-0.000362,1.0000
M1,16,0.4180,522.00,862.00,0.056478,-0.000359,1.0000
M1,17,0.4441,522.00,862.00,0.056478,-0.000359,1.0000
M1,18,0.4702,521.00,863.00,0.056614,-0.000489,1.0000
M1,19,0.4963,521.00,864.00,0.056747,-0.000486,1.0000
M1,20,0.5224,522.00,863.00,0.056611,-0.000356,1.0000
M1,21,0.5486,521.00,862.00,0.056481,-0.000492,1.0000
M1,22,0.5747,521.00,861.00,0.056348,-0.000495,1.0000
M1,23,0.6008,521.00,861.00,0.056348,-0.000495,1.0000
M1,24,0.6269,521.00,861.00,0.056348,-0.000495,1.0000
M1,25,0.6531,521.00,861.00,0.056348,-0.000495,1.0000
M1,26,0.6792,520.00,861.00,0.056351,-0.000627,1.0000
M1,27,0.7053,521.00,862.00,0.056481,-0.000492,1.0000
M1,28,0.7314,520.00,862.00,0.056484,-0.000625,1.0000
M1,29,0.7575,522.00,862.00,0.056478,-0.000359,1.0000
M1,30,0.7837,521.00,863.00,0.056614,-0.000489,1.0000
M1,31,0.8098,521.00,863.00,0.056614,-0.000489,1.0000
M1,32,0.8359,521.00,863.00,0.056614,-0.000489,1.0000
M1,33,0.8620,521.00,863.00,0.056614,-0.000489,1.0000
M1,34,0.8882,521.00,862.00,0.056481,-0.000492,1.0000
M1,35,0.9143,521.00,861.00,0.056348,-0.000495,1.0000
M1,36,0.9404,521.00,861.00,0.056348,-0.000495,1.0000
M1,37,0.9665,521.00,861.00,0.056348,-0.000495,1.0000
M1,38,0.9926,520.00,861.00,0.056351,-0.000627,1.0000
M1,39,1.0188,520.00,860.00,0.056219,-0.000630,1.0000
M1,40,1.0449,520.00,860.00,0.056219,-0.000630,1.0000
M1,41,1.0710,521.00,860.00,0.056216,-0.000498,1.0000
M1,42,1.0971,521.00,861.00,0.056348,-0.000495,1.0000
M1,43,1.1232,521.00,862.00,0.056481,-0.000492,1.0000
M1,44,1.1494,521.00,862.00,0.056481,-0.000492,1.0000
M1,45,1.1755,521.00,862.00,0.056481,-0.000492,1.0000
M1,46,1.2016,522.00,862.00,0.056478,-0.000359,1.0000
M1,47,1.2277,520.00,863.00,0.056617,-0.000622,1.0000
M1,48,1.2539,522.00,863.00,0.056611,-0.000356,1.0000
M1,49,1.2800,520.00,864.00,0.056750,-0.000619,1.0000
M1,50,1.3061,520.00,866.00,0.057015,-0.000613,1.0000
M1,51,1.3322,520.00,869.00,0.057413,-0.000604,1.0000
M1,52,1.3583,519.00,873.00,0.057947,-0.000725,1.0000
M1,53,1.3845,519.00,880.00,0.058876,-0.000705,1.0000
M1,54,1.4106,519.00,883.00,0.059274,-0.000696,1.0000
M1,55,1.4367,519.00,895.00,0.060866,-0.000662,1.0000
M1,56,1.4628,518.00,911.00,0.062993,-0.000748,1.0000
M1,57,1.4890,519.00,919.00,0.064051,-0.000592,1.0000
M1,58,1.5151,518.00,940.00,0.066841,-0.000664,1.0000
M1,59,1.5412,517.00,961.00,0.069631,-0.000736,1.0000
M1,60,1.5673,517.00,973.00,0.071224,-0.000701,1.0000
M1,61,1.5934,516.00,994.00,0.074013,-0.000773,1.0000
M1,62,1.6196,517.00,1015.00,0.076798,-0.000579,1.0000
M1,63,1.6457,517.00,1023.00,0.077859,-0.000556,1.0000
M1,64,1.6718,517.00,1039.00,0.079983,-0.000510,1.0000
M1,65,1.6979,517.00,1050.00,0.081442,-0.000478,1.0000
M1,66,1.7241,518.00,1054.00,0.081970,-0.000334,1.0000
M1,67,1.7502,517.00,1060.00,0.082769,-0.000449,1.0000
M1,68,1.7763,517.00,1062.00,0.083035,-0.000443,1.0000
M1,69,1.8024,519.00,1062.00,0.083029,-0.000178,1.0000
M1,70,1.8285,519.00,1063.00,0.083162,-0.000175,1.0000
M1,71,1.8547,520.00,1066.00,0.083557,-0.000033,1.0000
M1,72,1.8808,520.00,1067.00,0.083690,-0.000031,1.0000
M1,73,1.9069,519.00,1071.00,0.084224,-0.000152,1.0000
M1,74,1.9330,519.00,1077.00,0.085020,-0.000134,1.0000
M1,75,1.9592,519.00,1080.00,0.085418,-0.000126,1.0000
M1,76,1.9853,519.00,1086.00,0.086214,-0.000108,1.0000
M1,77,2.0114,518.00,1095.00,0.087411,-0.000215,1.0000
M1,78,2.0375,518.00,1099.00,0.087942,-0.000203,1.0000
M1,79,2.0636,518.00,1109.00,0.089269,-0.000174,1.0000
M1,80,2.0898,516.00,1121.00,0.090868,-0.000405,1.0000
M1,81,2.1159,516.00,1126.00,0.091531,-0.000390,1.0000
M1,82,2.1420,515.00,1135.00,0.092729,-0.000497,1.0000
M1,83,2.1681,514.00,1143.00,0.093793,-0.000607,1.0000
M1,84,2.1943,514.00,1147.00,0.094324,-0.000595,1.0000
M1,85,2.2204,514.00,1153.00,0.095120,-0.000578,1.0000
M1,86,2.2465,513.00,1158.00,0.095787,-0.000696,1.0000
M1,87,2.2726,513.00,1160.00,0.096052,-0.000690,1.0000
M1,88,2.2987,512.00,1163.00,0.096453,-0.000814,1.0000
M1,89,2.3249,513.00,1164.00,0.096583,-0.000678,1.0000
M1,90,2.3510,512.00,1166.00,0.096851,-0.000805,1.0000
M1,91,2.3771,511.00,1170.00,0.097385,-0.000927,1.0000
M1,92,2.4032,512.00,1172.00,0.097648,-0.000788,1.0000
M1,93,2.4294,511.00,1177.00,0.098314,-0.000906,1.0000
M1,94,2.4555,511.00,1185.00,0.099376,-0.000883,1.0000
M1,95,2.4816,510.00,1190.00,0.100042,-0.001001,1.0000
M1,96,2.5077,510.00,1196.00,0.100838,-0.000984,1.0000
M1,97,2.5338,510.00,1201.00,0.101502,-0.000969,1.0000
M1,98,2.5600,511.00,1203.00,0.101765,-0.000831,1.0000
M1,99,2.5861,511.00,1208.00,0.102428,-0.000816,1.0000
M1,100,2.6122,511.00,1214.00,0.103224,-0.000799,1.0000
M1,101,2.6383,510.00,1217.00,0.103625,-0.000923,1.0000
M1,102,2.6645,511.00,1224.00,0.104551,-0.000770,1.0000
M1,103,2.6906,511.00,1229.00,0.105215,-0.000756,1.0000
M1,104,2.7167,511.00,1232.00,0.105613,-0.000747,1.0000
M1,105,2.7428,511.00,1236.00,0.106144,-0.000735,1.0000
M1,106,2.7689,511.00,1240.00,0.106675,-0.000724,1.0000
M1,107,2.7951,512.00,1242.00,0.106937,-0.000585,1.0000
M1,108,2.8212,512.00,1245.00,0.107335,-0.000576,1.0000
M1,109,2.8473,512.00,1247.00,0.107601,-0.000571,1.0000
M1,110,2.8734,512.00,1251.00,0.108132,-0.000559,1.0000
M1,111,2.8996,512.00,1253.00,0.108397,-0.000553,1.0000
M1,112,2.9257,511.00,1257.00,0.108931,-0.000674,1.0000
M1,113,2.9518,512.00,1259.00,0.109193,-0.000536,1.0000
M1,114,2.9779,511.00,1261.00,0.109462,-0.000663,1.0000
M1,115,3.0040,512.00,1263.00,0.109724,-0.000524,1.0000
M1,116,3.0302,511.00,1264.00,0.109860,-0.000654,1.0000
M1,117,3.0563,511.00,1266.00,0.110125,-0.000648,1.0000
M1,118,3.0824,511.00,1268.00,0.110391,-0.000643,1.0000
M1,119,3.1085,512.00,1270.00,0.110653,-0.000504,1.0000
M1,120,3.1347,511.00,1275.00,0.111320,-0.000622,1.0000
M1,121,3.1608,511.00,1278.00,0.111718,-0.000614,1.0000
M1,122,3.1869,511.00,1285.00,0.112647,-0.000593,1.0000
M1,123,3.2130,510.00,1291.00,0.113446,-0.000709,1.0000
M1,124,3.2391,511.00,1293.00,0.113708,-0.000570,1.0000
M1,125,3.2653,511.00,1297.00,0.114239,-0.000559,1.0000
M1,126,3.2914,510.00,1301.00,0.114773,-0.000680,1.0000
M1,127,3.3175,509.00,1302.00,0.114909,-0.000809,1.0000
M1,128,3.3436,509.00,1307.00,0.115572,-0.000795,1.0000
M1,129,3.3697,508.00,1312.00,0.116239,-0.000913,1.0000
M1,130,3.3959,507.00,1314.00,0.116507,-0.001040,1.0000
M1,131,3.4220,508.00,1317.00,0.116902,-0.000899,1.0000
M1,132,3.4481,507.00,1321.00,0.117436,-0.001020,1.0000
M1,133,3.4742,509.00,1323.00,0.117696,-0.000749,1.0000
M1,134,3.5004,507.00,1327.00,0.118232,-0.001002,1.0000
M1,135,3.5265,507.00,1329.00,0.118498,-0.000997,1.0000
M1,136,3.5526,507.00,1335.00,0.119294,-0.000979,1.0000
M1,137,3.5787,507.00,1339.00,0.119825,-0.000968,1.0000
M1,138,3.6048,507.00,1341.00,0.120090,-0.000962,1.0000
M1,139,3.6310,507.00,1344.00,0.120488,-0.000953,1.0000
M1,140,3.6571,507.00,1348.00,0.121019,-0.000942,1.0000
M1,141,3.6832,506.00,1350.00,0.121287,-0.001068,1.0000
M1,142,3.7093,506.00,1353.00,0.121686,-0.001060,1.0000
M1,143,3.7355,507.00,1358.00,0.122346,-0.000913,1.0000
M1,144,3.7616,507.00,1360.00,0.122612,-0.000907,1.0000
M1,145,3.7877,507.00,1363.00,0.123010,-0.000898,1.0000
M1,146,3.8138,508.00,1365.00,0.123272,-0.000760,1.0000
M1,147,3.8399,507.00,1367.00,0.123541,-0.000887,1.0000
M1,148,3.8661,505.00,1372.00,0.124210,-0.001137,1.0000
M1,149,3.8922,504.00,1377.00,0.124876,-0.001256,1.0000
M1,150,3.9183,504.00,1378.00,0.125009,-0.001253,1.0000
M1,151,3.9444,505.00,1384.00,0.125803,-0.001103,1.0000
M1,152,3.9706,505.00,1385.00,0.125935,-0.001100,1.0000
M1,153,3.9967,505.00,1384.00,0.125803,-0.001103,1.0000
M1,154,4.0228,505.00,1386.00,0.126068,-0.001097,1.0000
M1,155,4.0489,508.00,1386.00,0.126059,-0.000699,1.0000
M1,156,4.0750,509.00,1389.00,0.126454,-0.000557,1.0000
M1,157,4.1012,509.00,1394.00,0.127118,-0.000543,1.0000
M1,158,4.1273,506.00,1397.00,0.127525,-0.000932,1.0000
M1,159,4.1534,507.00,1403.00,0.128318,-0.000782,1.0000
M1,160,4.1795,508.00,1408.00,0.128979,-0.000635,1.0000
M1,161,4.2057,507.00,1411.00,0.129380,-0.000759,1.0000
M1,162,4.2318,507.00,1412.00,0.129513,-0.000756,1.0000
M1,163,4.2579,507.00,1415.00,0.129911,-0.000747,1.0000
M1,164,4.2840,507.00,1419.00,0.130442,-0.000736,1.0000
M1,165,4.3101,507.00,1421.00,0.130707,-0.000730,1.0000
M1,166,4.3363,506.00,1424.00,0.131108,-0.000854,1.0000
M1,167,4.3624,507.00,1426.00,0.131371,-0.000716,1.0000
M1,168,4.3885,506.00,1426.00,0.131373,-0.000848,1.0000
M1,169,4.4146,506.00,1428.00,0.131639,-0.000842,1.0000
M1,170,4.4408,506.00,1429.00,0.131772,-0.000840,1.0000
M1,171,4.4669,505.00,1431.00,0.132040,-0.000966,1.0000
M1,172,4.4930,506.00,1436.00,0.132701,-0.000819,1.0000
M1,173,4.5191,506.00,1439.00,0.133099,-0.000811,1.0000
M1,174,4.5452,505.00,1445.00,0.133898,-0.000926,1.0000
M1,175,4.5714,506.00,1448.00,0.134293,-0.000785,1.0000
M1,176,4.5975,504.00,1449.00,0.134432,-0.001047,1.0000
M1,177,4.6236,505.00,1452.00,0.134827,-0.000906,1.0000
M1,178,4.6497,505.00,1454.00,0.135092,-0.000900,1.0000
M1,179,4.6759,504.00,1456.00,0.135361,-0.001027,1.0000
M1,180,4.7020,505.00,1459.00,0.135756,-0.000885,1.0000
M1,181,4.7281,505.00,1459.00,0.135756,-0.000885,1.0000
M1,182,4.7542,505.00,1461.00,0.136021,-0.000880,1.0000
M1,183,4.7803,504.00,1462.00,0.136157,-0.001009,1.0000
M1,184,4.8065,505.00,1464.00,0.136419,-0.000871,1.0000
M1,185,4.8326,505.00,1467.00,0.136818,-0.000862,1.0000
M1,186,4.8587,504.00,1469.00,0.137086,-0.000989,1.0000
M1,187,4.8848,505.00,1471.00,0.137348,-0.000851,1.0000
M1,188,4.9110,505.00,1472.00,0.137481,-0.000848,1.0000
M1,189,4.9371,505.00,1475.00,0.137879,-0.000839,1.0000
M1,190,4.9632,504.00,1477.00,0.138148,-0.000966,1.0000
M1,191,4.9893,505.00,1478.00,0.138277,-0.000830,1.0000
M1,192,5.0154,504.00,1479.00,0.138413,-0.000960,1.0000
M1,193,5.0416,505.00,1481.00,0.138675,-0.000822,1.0000
