marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,0,0.0000,524.00,994.00,0.055710,0.000282,1.0000
M1,1,0.0268,521.00,991.00,0.055331,-0.000134,1.0000
M1,2,0.0537,524.00,993.00,0.055577,0.000276,1.0000
M1,3,0.0805,521.00,990.00,0.055198,-0.000140,1.0000
M1,4,0.1073,522.00,992.00,0.055457,0.000005,1.0000
M1,5,0.1341,523.00,992.00,0.055451,0.000138,1.0000
M1,6,0.1610,523.00,992.00,0.055451,0.000138,1.0000
M1,7,0.1878,523.00,993.00,0.055583,0.000144,1.0000
M1,8,0.2146,524.00,992.00,0.055445,0.000270,1.0000
M1,9,0.2414,524.00,992.00,0.055445,0.000270,1.0000
M1,10,0.2683,524.00,992.00,0.055445,0.000270,1.0000
M1,11,0.2951,523.00,992.00,0.055451,0.000138,1.0000
M1,12,0.3219,523.00,992.00,0.055451,0.000138,1.0000
M1,13,0.3487,523.00,992.00,0.055451,0.000138,1.0000
M1,14,0.3756,523.00,992.00,0.055451,0.000138,1.0000
M1,15,0.4024,523.00,992.00,0.055451,0.000138,1.0000
M1,16,0.4292,523.00,992.00,0.055451,0.000138,1.0000
M1,17,0.4560,523.00,992.00,0.055451,0.000138,1.0000
M1,18,0.4829,523.00,992.00,0.055451,0.000138,1.0000
M1,19,0.5097,523.00,992.00,0.055451,0.000138,1.0000
M1,20,0.5365,523.00,991.00,0.055318,0.000131,1.0000
M1,21,0.5633,523.00,991.00,0.055318,0.000131,1.0000
M1,22,0.5902,523.00,991.00,0.055318,0.000131,1.0000
M1,23,0.6170,523.00,990.00,0.055186,0.000125,1.0000
M1,24,0.6438,523.00,990.00,0.055186,0.000125,1.0000
M1,25,0.6706,523.00,990.00,0.055186,0.000125,1.0000
M1,26,0.6975,524.00,990.00,0.055180,0.000258,1.0000
M1,27,0.7243,523.00,990.00,0.055186,0.000125,1.0000
M1,28,0.7511,523.00,990.00,0.055186,0.000125,1.0000
M1,29,0.7779,523.00,990.00,0.055186,0.000125,1.0000
M1,30,0.8048,523.00,990.00,0.055186,0.000125,1.0000
M1,31,0.8316,523.00,991.00,0.055318,0.000131,1.0000
M1,32,0.8584,523.00,991.00,0.055318,0.000131,1.0000
M1,33,0.8852,523.00,992.00,0.055451,0.000138,1.0000
M1,34,0.9121,523.00,992.00,0.055451,0.000138,1.0000
M1,35,0.9389,523.00,992.00,0.055451,0.000138,1.0000
M1,36,0.9657,523.00,992.00,0.055451,0.000138,1.0000
