marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,0,0.0000,539.00,1020.00,0.052228,-0.000696,1.0000
M1,1,0.0333,537.00,1020.00,0.052231,-0.000909,1.0000
M1,2,0.0666,538.00,1021.00,0.052336,-0.000801,1.0000
M1,3,0.0999,537.00,1021.00,0.052338,-0.000907,1.0000
M1,4,0.1332,538.00,1021.00,0.052336,-0.000801,1.0000
M1,5,0.1665,538.00,1021.00,0.052336,-0.000801,1.0000
M1,6,0.1998,538.00,1021.00,0.052336,-0.000801,1.0000
M1,7,0.2331,537.00,1021.00,0.052338,-0.000907,1.0000
M1,8,0.2664,538.00,1021.00,0.052336,-0.000801,1.0000
M1,9,0.2997,538.00,1021.00,0.052336,-0.000801,1.0000
M1,10,0.3331,538.00,1020.00,0.052230,-0.000802,1.0000
M1,11,0.3664,537.00,1021.00,0.052338,-0.000907,1.0000
M1,12,0.3997,538.00,1021.00,0.052336,-0.000801,1.0000
M1,13,0.4330,537.00,1021.00,0.052338,-0.000907,1.0000
M1,14,0.4663,538.00,1021.00,0.052336,-0.000801,1.0000
M1,15,0.4996,538.00,1021.00,0.052336,-0.000801,1.0000
M1,16,0.5329,537.00,1021.00,0.052338,-0.000907,1.0000
M1,17,0.5662,537.00,1021.00,0.052338,-0.000907,1.0000
M1,18,0.5995,537.00,1021.00,0.052338,-0.000907,1.0000
M1,19,0.6328,537.00,1021.00,0.052338,-0.000907,1.0000
M1,20,0.6661,537.00,1023.00,0.052550,-0.000904,1.0000
M1,21,0.6994,537.00,1027.00,0.052976,-0.000898,1.0000
M1,22,0.7327,537.00,1032.00,0.053508,-0.000889,1.0000
M1,23,0.7660,538.00,1039.00,0.054251,-0.000772,1.0000
M1,24,0.7993,538.00,1049.00,0.055315,-0.000756,1.0000
M1,25,0.8326,536.00,1055.00,0.055956,-0.000959,1.0000
M1,26,0.8659,537.00,1078.00,0.058401,-0.000815,1.0000
M1,27,0.8992,539.00,1096.00,0.060313,-0.000574,1.0000
M1,28,0.9325,537.00,1110.00,0.061805,-0.000764,1.0000
M1,29,0.9659,537.00,1126.00,0.063507,-0.000738,1.0000
M1,30,0.9992,537.00,1131.00,0.064039,-0.000730,1.0000
M1,31,1.0325,537.00,1148.00,0.065848,-0.000703,1.0000
M1,32,1.0658,538.00,1154.00,0.066484,-0.000586,1.0000
M1,33,1.0991,537.00,1159.00,0.067018,-0.000685,1.0000
M1,34,1.1324,537.00,1162.00,0.067337,-0.000680,1.0000
M1,35,1.1657,538.00,1167.00,0.067867,-0.000566,1.0000
M1,36,1.1990,538.00,1176.00,0.068825,-0.000551,1.0000
