t,x,y
0.000000E0,9.472599E-2,-1.368626E-3
3.330625E-2,9.441648E-2,-1.596159E-3
6.661251E-2,9.444587E-2,-1.587148E-3
9.991876E-2,9.461588E-2,-1.582603E-3
1.332250E-1,9.464303E-2,-1.578487E-3
1.665313E-1,9.467317E-2,-1.580201E-3
1.998375E-1,9.467690E-2,-1.572680E-3
2.331438E-1,9.462853E-2,-1.551898E-3
2.664500E-1,9.460675E-2,-1.544773E-3
2.997563E-1,9.457721E-2,-1.538157E-3
3.330625E-1,9.456804E-2,-1.532828E-3
3.663688E-1,9.458746E-2,-1.533572E-3
3.996750E-1,9.460485E-2,-1.533564E-3
4.329813E-1,9.459070E-2,-1.535468E-3
4.662876E-1,9.457364E-2,-1.536392E-3
4.995938E-1,9.456668E-2,-1.536272E-3
5.329001E-1,9.456800E-2,-1.509835E-3
5.662063E-1,9.460141E-2,-1.508099E-3
5.995126E-1,9.466853E-2,-1.497869E-3
6.328188E-1,9.484095E-2,-1.504424E-3
6.661251E-1,9.515401E-2,-1.512670E-3
6.994313E-1,9.561303E-2,-1.522792E-3
7.327376E-1,9.632887E-2,-1.532174E-3
7.660438E-1,9.677158E-2,-1.546708E-3
7.993501E-1,9.786158E-2,-1.550754E-3
8.326563E-1,9.982500E-2,-1.525683E-3
8.659626E-1,1.011977E-1,-1.537953E-3
8.992688E-1,1.018815E-1,-1.553157E-3
9.325751E-1,1.032352E-1,-1.571056E-3
9.658814E-1,1.053794E-1,-1.539016E-3
9.991876E-1,1.067735E-1,-1.498212E-3
1.032494E0,1.079881E-1,-1.516207E-3
1.065800E0,1.085580E-1,-1.543262E-3
1.099106E0,1.095707E-1,-1.587570E-3
1.132413E0,1.104769E-1,-1.608280E-3
1.165719E0,1.117103E-1,-1.604810E-3
1.199025E0,1.123457E-1,-1.594006E-3
1.232331E0,1.125823E-1,-1.585825E-3
1.265638E0,1.130751E-1,-1.600595E-3
1.298944E0,1.138752E-1,-1.593199E-3
1.332250E0,1.145764E-1,-1.571067E-3
1.365556E0,1.145824E-1,-1.580990E-3
1.398863E0,1.159497E-1,-1.559361E-3
1.432169E0,1.169359E-1,-1.532831E-3
1.465475E0,1.179623E-1,-1.521695E-3
1.498781E0,1.184751E-1,-1.514978E-3
1.532088E0,1.195129E-1,-1.507818E-3
1.565394E0,1.210617E-1,-1.468578E-3
1.598700E0,1.219758E-1,-1.420609E-3
1.632006E0,1.228059E-1,-1.388463E-3
1.665313E0,1.231818E-1,-1.348077E-3
1.698619E0,1.241755E-1,-1.274260E-3
1.731925E0,1.248105E-1,-1.236508E-3
1.765231E0,1.253432E-1,-1.179108E-3
1.798538E0,1.256007E-1,-1.164871E-3
1.831844E0,1.261235E-1,-1.133758E-3
1.865150E0,1.270233E-1,-1.043766E-3
1.898456E0,1.277432E-1,-1.004842E-3
1.931763E0,1.281410E-1,-9.996296E-4
1.965069E0,1.289277E-1,-9.515073E-4
1.998375E0,1.300722E-1,-9.421090E-4
2.031681E0,1.308666E-1,-9.457750E-4
2.064988E0,1.316741E-1,-9.539535E-4
2.098294E0,1.320760E-1,-9.652278E-4
2.131600E0,1.327980E-1,-9.895957E-4
2.164906E0,1.334964E-1,-1.053993E-3
2.198213E0,1.339171E-1,-1.105437E-3
2.231519E0,1.344343E-1,-1.132250E-3
2.264825E0,1.347521E-1,-1.143159E-3
2.298131E0,1.357250E-1,-1.194449E-3
2.331438E0,1.363612E-1,-1.236268E-3
2.364744E0,1.369884E-1,-1.277965E-3
2.398050E0,1.373218E-1,-1.279329E-3
2.431357E0,1.380466E-1,-1.300439E-3
2.464663E0,1.391968E-1,-1.319720E-3
2.497969E0,1.398140E-1,-1.342564E-3
2.531275E0,1.403171E-1,-1.375753E-3
2.564582E0,1.405393E-1,-1.375025E-3
2.597888E0,1.412602E-1,-1.384197E-3
2.631194E0,1.418540E-1,-1.371655E-3
2.664500E0,1.424529E-1,-1.375872E-3
2.697807E0,1.429570E-1,-1.374705E-3
2.731113E0,1.434314E-1,-1.376215E-3
2.764419E0,1.438727E-1,-1.376618E-3
2.797725E0,1.441526E-1,-1.373301E-3
2.831032E0,1.449414E-1,-1.290309E-3
2.864338E0,1.453931E-1,-1.241820E-3
2.897644E0,1.458755E-1,-1.211939E-3
2.930950E0,1.461357E-1,-1.164366E-3
2.964257E0,1.467043E-1,-1.104507E-3
2.997563E0,1.476375E-1,-1.040745E-3
3.030869E0,1.481927E-1,-1.002211E-3
3.064175E0,1.484268E-1,-9.863046E-4
3.097482E0,1.489170E-1,-9.668687E-4
3.130788E0,1.497007E-1,-9.653648E-4
3.164094E0,1.502293E-1,-9.892110E-4
3.197400E0,1.506279E-1,-1.006378E-3
3.230707E0,1.508114E-1,-1.033573E-3
3.264013E0,1.511937E-1,-1.060735E-3
3.297319E0,1.519479E-1,-1.126265E-3
3.330625E0,1.525319E-1,-1.155384E-3
3.363932E0,1.530422E-1,-1.184174E-3
3.397238E0,1.532162E-1,-1.205682E-3
3.430544E0,1.534925E-1,-1.298941E-3
3.463850E0,1.538043E-1,-1.372511E-3
3.497157E0,1.543785E-1,-1.423056E-3
3.530463E0,1.547370E-1,-1.445744E-3
3.563769E0,1.553957E-1,-1.481245E-3
3.597075E0,1.560907E-1,-1.540374E-3
3.630382E0,1.564664E-1,-1.570576E-3
3.663688E0,1.566627E-1,-1.614363E-3
3.696994E0,1.571445E-1,-1.648967E-3
3.730300E0,1.577813E-1,-1.681875E-3
3.763607E0,1.580360E-1,-1.683463E-3
3.796913E0,1.583185E-1,-1.681632E-3
3.830219E0,1.584981E-1,-1.685492E-3
3.863525E0,1.590011E-1,-1.667075E-3
3.896832E0,1.601145E-1,-1.619520E-3
3.930138E0,1.607023E-1,-1.548017E-3
3.963444E0,1.611165E-1,-1.484349E-3
3.996750E0,1.612654E-1,-1.439849E-3
4.030057E0,1.617249E-1,-1.368513E-3
4.063363E0,1.621804E-1,-1.330383E-3
4.096669E0,1.624973E-1,-1.226757E-3
4.129975E0,1.626609E-1,-1.191320E-3
4.163282E0,1.630963E-1,-1.133432E-3
4.196588E0,1.634931E-1,-1.072348E-3
4.229894E0,1.642494E-1,-1.013216E-3
4.263200E0,1.646453E-1,-9.456336E-4
4.296507E0,1.647818E-1,-9.217647E-4
4.329813E0,1.651319E-1,-9.069058E-4
4.363119E0,1.655153E-1,-9.004227E-4
4.396425E0,1.661864E-1,-9.158476E-4
4.429732E0,1.665777E-1,-9.425802E-4
4.463038E0,1.666981E-1,-9.623031E-4
4.496344E0,1.669857E-1,-9.921616E-4
4.529650E0,1.675118E-1,-1.047652E-3
4.562957E0,1.680290E-1,-1.097498E-3
4.596263E0,1.685126E-1,-1.132462E-3
4.629569E0,1.687049E-1,-1.149550E-3
4.662876E0,1.687486E-1,-1.185566E-3
4.696182E0,1.689066E-1,-1.243301E-3
4.729488E0,1.693623E-1,-1.316968E-3
4.762794E0,1.700932E-1,-1.362163E-3
4.796101E0,1.706252E-1,-1.364681E-3
4.829407E0,1.709421E-1,-1.376988E-3
4.862713E0,1.711251E-1,-1.395079E-3
4.896019E0,1.713348E-1,-1.449064E-3
4.929326E0,1.717674E-1,-1.457044E-3
4.962632E0,1.720247E-1,-1.451338E-3
4.995938E0,1.723320E-1,-1.414690E-3
5.029244E0,1.725041E-1,-1.394781E-3
5.062551E0,1.727056E-1,-1.385930E-3
5.095857E0,1.728722E-1,-1.388461E-3
5.129163E0,1.734287E-1,-1.375670E-3
5.162469E0,1.742262E-1,-1.291013E-3
5.195776E0,1.744562E-1,-1.233342E-3
5.229082E0,1.745834E-1,-1.170399E-3
5.262388E0,1.746428E-1,-1.140480E-3
5.295694E0,1.748634E-1,-1.087381E-3
5.329001E0,1.754458E-1,-1.033223E-3
5.362307E0,1.757227E-1,-9.599289E-4
5.395613E0,1.758772E-1,-9.415659E-4
5.428919E0,1.760943E-1,-8.914338E-4
5.462226E0,1.765014E-1,-8.355782E-4
5.495532E0,1.768405E-1,-8.073596E-4
5.528838E0,1.770278E-1,-7.660003E-4
5.562144E0,1.771166E-1,-7.589850E-4
5.595451E0,1.773222E-1,-7.469413E-4
5.628757E0,1.777480E-1,-7.605937E-4
5.662063E0,1.780914E-1,-7.843171E-4
5.695369E0,1.783146E-1,-7.913504E-4
5.728676E0,1.783834E-1,-7.997999E-4
5.761982E0,1.785988E-1,-8.300761E-4
5.795288E0,1.788876E-1,-8.695736E-4
5.828594E0,1.792823E-1,-9.016945E-4
5.861901E0,1.794551E-1,-9.090499E-4
5.895207E0,1.796176E-1,-9.088117E-4
5.928513E0,1.796154E-1,-9.833246E-4
5.961819E0,1.797291E-1,-1.075465E-3
5.995126E0,1.801168E-1,-1.113910E-3
6.028432E0,1.803969E-1,-1.113975E-3
6.061738E0,1.808310E-1,-1.130506E-3
6.095044E0,1.810319E-1,-1.172876E-3
6.128351E0,1.810332E-1,-1.191200E-3
6.161657E0,1.811653E-1,-1.231842E-3
6.194963E0,1.813212E-1,-1.261008E-3
6.228269E0,1.817089E-1,-1.290450E-3
