marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,0,0.0000,531.00,1026.00,0.081874,-0.001140,1.0000
M1,1,0.0265,529.00,1026.00,0.081868,-0.001434,1.0000
M1,2,0.0531,530.00,1026.00,0.081871,-0.001287,1.0000
M1,3,0.0796,529.00,1027.00,0.082015,-0.001437,1.0000
M1,4,0.1062,530.00,1025.00,0.081725,-0.001284,1.0000
M1,5,0.1327,529.00,1025.00,0.081722,-0.001430,1.0000
M1,6,0.1593,529.00,1027.00,0.082015,-0.001437,1.0000
M1,7,0.1858,529.00,1026.00,0.081868,-0.001434,1.0000
M1,8,0.2124,529.00,1026.00,0.081868,-0.001434,1.0000
M1,9,0.2389,529.00,1025.00,0.081722,-0.001430,1.0000
M1,10,0.2655,529.00,1025.00,0.081722,-0.001430,1.0000
M1,11,0.2920,529.00,1025.00,0.081722,-0.001430,1.0000
M1,12,0.3186,529.00,1025.00,0.081722,-0.001430,1.0000
M1,13,0.3451,529.00,1025.00,0.081722,-0.001430,1.0000
M1,14,0.3717,529.00,1025.00,0.081722,-0.001430,1.0000
M1,15,0.3982,529.00,1025.00,0.081722,-0.001430,1.0000
M1,16,0.4248,529.00,1025.00,0.081722,-0.001430,1.0000
M1,17,0.4513,529.00,1025.00,0.081722,-0.001430,1.0000
M1,18,0.4779,529.00,1025.00,0.081722,-0.001430,1.0000
M1,19,0.5044,529.00,1025.00,0.081722,-0.001430,1.0000
M1,20,0.5310,529.00,1025.00,0.081722,-0.001430,1.0000
M1,21,0.5575,529.00,1025.00,0.081722,-0.001430,1.0000
M1,22,0.5841,529.00,1025.00,0.081722,-0.001430,1.0000
M1,23,0.6106,529.00,1025.00,0.081722,-0.001430,1.0000
M1,24,0.6372,529.00,1025.00,0.081722,-0.001430,1.0000
M1,25,0.6637,529.00,1025.00,0.081722,-0.001430,1.0000
M1,26,0.6902,529.00,1025.00,0.081722,-0.001430,1.0000
M1,27,0.7168,529.00,1025.00,0.081722,-0.001430,1.0000
M1,28,0.7433,529.00,1026.00,0.081868,-0.001434,1.0000
M1,29,0.7699,529.00,1027.00,0.082015,-0.001437,1.0000
M1,30,0.7964,529.00,1029.00,0.082308,-0.001443,1.0000
M1,31,0.8230,529.00,1034.00,0.083041,-0.001459,1.0000
M1,32,0.8495,529.00,1036.00,0.083334,-0.001465,1.0000
M1,33,0.8761,530.00,1042.00,0.084217,-0.001337,1.0000
M1,34,0.9026,529.00,1049.00,0.085240,-0.001506,1.0000
M1,35,0.9292,530.00,1055.00,0.086122,-0.001378,1.0000
M1,36,0.9557,530.00,1059.00,0.086709,-0.001390,1.0000
M1,37,0.9823,530.00,1065.00,0.087588,-0.001409,1.0000
M1,38,1.0088,530.00,1068.00,0.088028,-0.001418,1.0000
M1,39,1.0354,530.00,1075.00,0.089054,-0.001440,1.0000
M1,40,1.0619,531.00,1083.00,0.090230,-0.001319,1.0000
M1,41,1.0885,531.00,1088.00,0.090963,-0.001334,1.0000
