R,k,m,I,final_com_velocity,end_time,motor_angle,bottom_height
3.000000000000000062e-03,1.000000000000000000e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.572796302550945491e+00,6.378797248493078831e-02,6.626090063852979029e+01,9.249999999999999889e-02
3.000000000000000062e-03,1.083110727436042180e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.595608934639096255e+00,6.315892784159460316e-02,6.534841307555666390e+01,9.250000000000001277e-02
3.000000000000000062e-03,1.173128847887029951e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.613068172248659060e+00,6.257052621552430804e-02,6.449875402854554807e+01,9.250000000000008216e-02
3.000000000000000062e-03,1.270628439811126918e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.625033160798241560e+00,6.202296081213623524e-02,6.371189155374527502e+01,9.249999999999998501e-02
3.000000000000000062e-03,1.376231293744750110e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.631608305271668335e+00,6.151641327121492447e-02,6.298776170958490184e+01,9.249999999999997113e-02
3.000000000000000062e-03,1.490610877688121582e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.633020305837374231e+00,6.105100581206596849e-02,6.232619334501193009e+01,9.249999999999999889e-02
3.000000000000000062e-03,1.614496632056855196e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.629688409390904091e+00,6.062673951125381600e-02,6.172681175240101936e+01,9.250000000000004052e-02
3.000000000000000062e-03,1.748678621590140392e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.622243977875040599e+00,6.024341795614637785e-02,6.118892101677816697e+01,9.249999999999997113e-02
3.000000000000000062e-03,1.894012573882348443e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.611499026401547852e+00,5.990055542747552142e-02,6.071135788613290174e+01,9.249999999999999889e-02
3.000000000000000062e-03,2.051425336670720935e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.598474805562113410e+00,5.959725962863562237e-02,6.029231680616799594e+01,9.249999999999997113e-02
3.000000000000000062e-03,2.221920788682152124e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.584447109580951363e+00,5.933210795699364604e-02,5.992916008784222726e+01,9.250000000000006828e-02
3.000000000000000062e-03,2.406586241734785290e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.570935422920842761e+00,5.910302047943493536e-02,5.961823141023013051e+01,9.249999999999997113e-02
3.000000000000000062e-03,2.606599374922933930e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.559641637076128795e+00,5.890714140455096531e-02,5.935468898735868493e+01,9.250000000000006828e-02
3.000000000000000062e-03,2.823235745107105686e+04,3.600000000000000091e-05,1.879199999999999828e-10,4.552365727119113359e+00,5.874075898808835128e-02,5.913240503925288749e+01,9.250000000000002665e-02
