R,k,final_com_velocity,end_time,motor_angle,bottom_height
5.000000000000000104e-03,1.000000000000000000e+04,6.165241168826788076e+00,5.044006543265985160e-02,4.338153016197966849e+01,9.250000000000001277e-02
5.000000000000000104e-03,1.058334012687634095e+04,6.224451290297219330e+00,4.998196197903503196e-02,4.277306180650720080e+01,9.249999999999998501e-02
5.000000000000000104e-03,1.120070882411509047e+04,6.281640593318056354e+00,4.953720715201739844e-02,4.218545835471507388e+01,9.249999999999997113e-02
5.000000000000000104e-03,1.185409111477153965e+04,6.336627069247924737e+00,4.910569991699991615e-02,4.161843031596316678e+01,9.249999999999956868e-02
5.000000000000000104e-03,1.254558781626099153e+04,6.389235313510810421e+00,4.868734477005885047e-02,4.107169540046839984e+01,9.249999999999997113e-02
5.000000000000000104e-03,1.327742229510858851e+04,6.439327391205335260e+00,4.828205146350925819e-02,4.054498106809754887e+01,9.249999999999999889e-02
5.000000000000000104e-03,1.405194761573052710e+04,6.486818391822549046e+00,4.788974213027635124e-02,4.003803211572009957e+01,9.250000000000127565e-02
5.000000000000000104e-03,1.487165410623255048e+04,6.531656213762203400e+00,4.751034688508894155e-02,3.955061965168869165e+01,9.249999999999998501e-02
5.000000000000000104e-03,1.573917736555162446e+04,6.573766572462008462e+00,4.714381166786344585e-02,3.908254051083093117e+01,9.249999999999999889e-02
5.000000000000000104e-03,1.665730673768663473e+04,6.613013866511473715e+00,4.679009037879665323e-02,3.863360742162442563e+01,9.249999999999997113e-02
5.000000000000000104e-03,1.762899428026465830e+04,6.649222730559798400e+00,4.644914199901898494e-02,3.820363783876286590e+01,9.249999999999999889e-02
5.000000000000000104e-03,1.865736425627984499e+04,6.682233554145306620e+00,4.612093277914389861e-02,3.779245055357398542e+01,9.249999999999995726e-02
5.000000000000000104e-03,1.974572317952352387e+04,6.711928468475303333e+00,4.580542795116351873e-02,3.739986551724898334e+01,9.249999999999997113e-02
5.000000000000000104e-03,2.089757044600435984e+04,6.738233415379867530e+00,4.550258933533508215e-02,3.702569900037309480e+01,9.249999999999999889e-02
5.000000000000000104e-03,2.211660958554230456e+04,6.761137975330821170e+00,4.521237721168136492e-02,3.666976376161818507e+01,9.249999999999999889e-02
5.000000000000000104e-03,2.340676016971277568e+04,6.780682339160762240e+00,4.493475750381967920e-02,3.633187813743147387e+01,9.249999999999999889e-02
5.000000000000000104e-03,2.477217041442925984e+04,6.796890170449945145e+00,4.466969065947226647e-02,3.601186356783099285e+01,9.249999999999998501e-02
5.000000000000000104e-03,2.621723051768480946e+04,6.809776243712518884e+00,4.441713114618259933e-02,3.570952689733615415e+01,9.249999999999995726e-02
5.000000000000000104e-03,2.774658677533805894e+04,6.819428586535997816e+00,4.417702193738072547e-02,3.542465701114146270e+01,9.249999999999999889e-02
5.000000000000000104e-03,2.936515652032916842e+04,6.825979370741088736e+00,4.394930075962776017e-02,3.515703034061143484e+01,9.249999999999999889e-02
5.000000000000000104e-03,3.107814393336041030e+04,6.829552844722417859e+00,4.373388456777685396e-02,3.490639752634380244e+01,9.249999999999995726e-02
5.000000000000000104e-03,3.289105677587723767e+04,6.830329743981321755e+00,4.353067418459782151e-02,3.467247048250824548e+01,9.249999999999999889e-02
5.000000000000000104e-03,3.480972409915095341e+04,6.828572751539712549e+00,4.333953922114387042e-02,3.445492120593098662e+01,9.249999999999999889e-02
5.000000000000000104e-03,3.684031498640386417e+04,6.824576007076492701e+00,4.316032308146470348e-02,3.425337563038863919e+01,9.249999999999998501e-02
5.000000000000000104e-03,3.898935838823718223e+04,6.818634455604726696e+00,4.299283040272950523e-02,3.406739694285537468e+01,9.249999999999997113e-02
5.000000000000000104e-03,4.126376411513931816e+04,6.811174398195805502e+00,4.283682119445538644e-02,3.389647717304865893e+01,9.249999999999995726e-02
5.000000000000000104e-03,4.367084505457148043e+04,6.802675341719735869e+00,4.269201541313888404e-02,3.374004988426967344e+01,9.249999999999997113e-02
5.000000000000000104e-03,4.621834068406455481e+04,6.793583792450781367e+00,4.255806804821619244e-02,3.359743834676560681e+01,9.249999999999999889e-02
5.000000000000000104e-03,4.891444195593016775e+04,6.784652202824727141e+00,4.243456896545871881e-02,3.346784941119920376e+01,9.249999999999997113e-02
5.000000000000000104e-03,5.176781763359593606e+04,6.776324572125239420e+00,4.232106596806459176e-02,3.335042865413186064e+01,9.249999999999998501e-02
5.000000000000000104e-03,5.478764216424524784e+04,6.769029757054257246e+00,4.221705597301669138e-02,3.324422392149182315e+01,9.249999999999999889e-02
5.000000000000000104e-03,5.798362517738000315e+04,6.763660855328021526e+00,4.212196414310258319e-02,3.314817646048110333e+01,9.249999999999995726e-02
5.000000000000000104e-03,6.136604270415229985e+04,6.760902401494144343e+00,4.203512042964111656e-02,3.306109545663399985e+01,9.250000000000074829e-02
5.000000000000000104e-03,6.494577021784621320e+04,6.761325297393969258e+00,4.195575888378519358e-02,3.298165523975054469e+01,9.249999999999998501e-02
5.000000000000000104e-03,6.873431760174235387e+04,6.765610458856286868e+00,4.188305049105942035e-02,3.290845025325275230e+01,9.249999999999918010e-02
5.000000000000000104e-03,7.274386615679826355e+04,6.774289727179978016e+00,4.181610292920294458e-02,3.284000585594800015e+01,9.249999999999999889e-02
5.000000000000000104e-03,7.698730776813649572e+04,6.787769896354957311e+00,4.175396790921892531e-02,3.277480245870835063e+01,9.249999999999941602e-02
5.000000000000000104e-03,8.147828635626974574e+04,6.806277953210222442e+00,4.169565209399945377e-02,3.271131343394150548e+01,9.249999999999998501e-02
5.000000000000000104e-03,8.623124174634306110e+04,6.829689874326594357e+00,4.164017818182177977e-02,3.264809121880511356e+01,9.249999999999999889e-02
5.000000000000000104e-03,9.126145609644486103e+04,6.857771513218843040e+00,4.158658579881538420e-02,3.258380477289692578e+01,9.249999999999998501e-02
5.000000000000000104e-03,9.658510303426683822e+04,6.890233563277130102e+00,4.153391589314455595e-02,3.251724349869661523e+01,9.249999999999998501e-02
5.000000000000000104e-03,1.022192996601041959e+05,6.926165014512508655e+00,4.148138162264839585e-02,3.244755191151643459e+01,9.250000000000001277e-02
5.000000000000000104e-03,1.081821615833977849e+05,6.964767568871952363e+00,4.142834064451041132e-02,3.237418253703283710e+01,9.249999999999998501e-02
5.000000000000000104e-03,1.144928611697793822e+05,7.004578370091081752e+00,4.137429457205756000e-02,3.229692978353923394e+01,9.249999999999999889e-02
5.000000000000000104e-03,1.211716891859010648e+05,7.044137072450182835e+00,4.131898358002392829e-02,3.221603746942832203e+01,9.250000000000116462e-02
5.000000000000000104e-03,1.282401200402534596e+05,7.081756303822983156e+00,4.126238661110508132e-02,3.213218390212494313e+01,9.249999999999999889e-02
5.000000000000000104e-03,1.357208808297453215e+05,7.115727447296221087e+00,4.120471138136234945e-02,3.204644567136073618e+01,9.249999999999998501e-02
