radius_mm,payload_mass_g,pixels_per_meter,original_max_velocity_m_s,corrected_max_velocity_m_s,corrected_max_raw_velocity_m_s,common_loss_model_velocity_m_s,common_loss_residual_m_s
5,20,10739.130434782608,6.729072,6.692021239190284,6.768559480809717,6.8068335674426,0.11481232825231569
5,30,10739.130434782608,6.292462,6.2578152456680165,6.29192340388664,6.339449336378792,0.0816340907107751
5,40,10739.130434782608,5.953539,5.920758380404859,5.994866078866397,5.97005426442545,0.04929588402059082
5,50,10739.130434782608,5.775707,5.743905536356275,5.823857875627531,5.667530279491861,-0.07637525686441382
5,60,10739.130434782608,5.510619,5.480277130202429,5.507810689068826,5.413149702114859,-0.06712742808757
5,70,10739.130434782608,5.262702,5.233725179271255,5.269082421862349,5.194857707728091,-0.03886747154316428
5,80,10739.130434782608,5.152116,5.123748073846154,5.176044531497976,5.0044855329089195,-0.11926254093723454
5,90,10739.130434782608,4.956692,4.929400092631579,4.9525429608097165,4.836268368926298,-0.09313172370528111
5,100,10739.130434782608,4.951847,4.924581769554656,5.012963439352227,4.686001783366687,-0.23857998618796916
5,110,10739.130434782608,4.739375,4.713279655870445,4.770944391740891,4.550534717701036,-0.16274493816940883
5,120,10739.130434782608,4.584462,4.559219618137652,4.607692246639676,4.427450843981637,-0.13176877415601496
5,130,10739.130434782608,4.457634,4.433089942348178,4.524452110445345,4.31486067238434,-0.11822926996383831
5,140,10739.130434782608,4.362675,4.338653793522267,4.360568461700406,4.2112615381085625,-0.1273922554137048
5,150,10739.130434782608,4.356753,4.33276440048583,4.422488637085021,4.115440691072421,-0.21732370941340928
5,160,10739.130434782608,4.200459,4.177330966639676,4.196521715951417,4.026406605192094,-0.15092436144758192
5,170,10739.130434782608,4.111847,4.089206870769231,4.122876457165992,3.943339262648145,-0.1458676081210859
5,180,10739.130434782608,4.082996,4.060514726477733,4.095748651821863,3.8655535002741126,-0.19496122620362
5,190,10739.130434782608,3.972865,3.950990115789474,3.99451115902834,3.792471537147711,-0.1585185786417629
5,200,10739.130434782608,3.915655,3.894095118218624,3.9366614472874497,3.7236020768856073,-0.17049304133301657
5,210,10739.130434782608,3.867485,3.8461903457489877,3.894875795951417,3.6585241976474676,-0.18766614810152005
5,220,10739.130434782608,3.802341,3.781405033360324,3.8151283224291497,3.5968747817616817,-0.18453025159864245
7,20,10782.608695652174,6.916565,6.850746075,6.9575509412903225,7.457851245733723,0.6071051707337229
7,30,10782.608695652174,6.418574,6.357494021612903,6.4435175458064515,6.8324541329558715,0.4749601113429689
7,40,10782.608695652174,5.956748,5.900062817419355,5.979106401774194,6.357497308763503,0.4574344913441486
7,50,10782.608695652174,5.795763,5.740609771451613,5.812996313709678,5.979336235525214,0.23872646407360154
7,60,10782.608695652174,5.500578,5.44823379,5.510209356290322,5.667970917771017,0.21973712777101717
7,70,10782.608695652174,5.078523,5.03019511983871,5.126622686612903,5.405099672805865,0.3749045529671555
7,80,10782.608695652174,5.102936,5.054375802580645,5.090163965806451,5.178818861232577,0.1244430586519325
7,90,10782.608695652174,4.851189,4.805024459516129,4.835081683064517,4.980995447388713,0.17597098787258414
7,100,10782.608695652174,4.765668,4.720317288387097,4.746980123709678,4.805851193394013,0.08553390500691638
7,110,10782.608695652174,4.65402,4.60973174516129,4.640249543709677,4.649148285461798,0.03941654030050756
7,120,10782.608695652174,4.525234,4.482171289354839,4.4977258480645155,4.5076956187773325,0.025524329422493608
7,130,10782.608695652174,4.408368,4.366417401290323,4.3921531437096775,4.379036233854972,0.012618832564649018
7,140,10782.608695652174,4.287488,4.246687710967741,4.261372624838709,4.261242116158782,0.01455440519104112
7,150,10782.608695652174,4.184455,4.144635186290323,4.194534773225807,4.152775248643158,0.008140062352834931
7,160,10782.608695652174,4.157514,4.117950560322581,4.149890693709677,4.052390983824459,-0.06555957649812161
7,170,10782.608695652174,4.119843,4.080638042419356,4.1184141067741935,3.959069266786337,-0.1215687756330186
7,180,10782.608695652174,4.028794,3.990455476451613,4.036095982741935,3.871964671573757,-0.11849080487785635
7,190,10782.608695652174,3.968258,3.9304955448387098,3.9620691991935484,3.790369441737857,-0.14012610310085272
7,200,10782.608695652174,3.844213,3.807630973064516,3.8461281096774194,3.713685705137165,-0.09394526792735114
7,210,10782.608695652174,3.749759,3.714075809516129,3.7262122083870968,3.641404280444665,-0.07267152907146412
7,220,10782.608695652174,3.772439,3.7365399837096773,3.764407247419355,3.5730882983489463,-0.16345168536073107
9,20,11565.217391304348,8.452414,7.805454793082705,7.847959747669173,7.67309844582789,-0.1323563472548157
9,30,11565.217391304348,7.515536,6.940286703157894,7.034543203759398,6.95998632825354,0.0196996250956456
9,40,11565.217391304348,7.096674,6.553484967518797,6.613200420902255,6.429380862323161,-0.1241041051956353
9,50,11565.217391304348,6.572139,6.069098586315789,6.1141144249624055,6.012788044958252,-0.056310541357537325
9,60,11565.217391304348,6.41293,5.922075658646617,5.972156667969925,5.673274252699254,-0.2488014059473631
9,70,11565.217391304348,6.122789,5.654142443458646,5.696891191127819,5.388880271035808,-0.26526217242283767
9,80,11565.217391304348,5.826943,5.380940896691729,5.4223894145864655,5.145594831176157,-0.23534606551557147
9,90,11565.217391304348,5.606724,5.177577756992481,5.218970867368421,4.933986098720254,-0.2435916582722264
9,100,11565.217391304348,5.421577,5.006602158947368,5.064260146466165,4.747432138282911,-0.25917002066445693
