payload_mass_g,measured_best_radius_mm,no_loss_model_best_radius_mm,common_loss_model_best_radius_mm,r5_velocity_m_s,r7_velocity_m_s,r9_velocity_m_s,r11_velocity_m_s
20,9,9,11,6.692021239190284,6.850746075,7.805454793082705,7.53626196233463
30,11,9,9,6.2578152456680165,6.357494021612903,6.940286703157894,7.0540037364980535
40,9,9,9,5.920758380404859,5.900062817419355,6.553484967518797,6.285955318132295
50,9,7,9,5.743905536356275,5.740609771451613,6.069098586315789,5.974981768715953
60,9,7,9,5.480277130202429,5.44823379,5.922075658646617,5.60414852311284
70,9,7,7,5.233725179271255,5.03019511983871,5.654142443458646,5.205133583346303
80,9,7,7,5.123748073846154,5.054375802580645,5.380940896691729,4.952398697276264
90,9,7,7,4.929400092631579,4.805024459516129,5.177577756992481,4.7371740905836575
100,9,7,7,4.924581769554656,4.720317288387097,5.006602158947368,4.544487192840467
110,9,7,7,4.713279655870445,4.60973174516129,4.763166454736842,4.3036577224902715
120,9,7,7,4.559219618137652,4.482171289354839,4.717435859097744,4.110466163579766
130,9,7,7,4.433089942348178,4.366417401290323,4.5356844221052635,3.851391471595331
140,9,5,7,4.338653793522267,4.246687710967741,4.408333010526316,3.7695751914396882
150,5,5,7,4.33276440048583,4.144635186290323,4.291195975037594,3.6851065727626455
160,9,5,7,4.177330966639676,4.117950560322581,4.230606006315789,3.572584336809338
170,9,5,7,4.089206870769231,4.080638042419356,4.1382361317293235,3.3963065733852136
180,5,5,7,4.060514726477733,3.990455476451613,4.000416392932331,3.2844868487159533
190,5,5,5,3.950990115789474,3.9304955448387098,3.9498284048120293,3.064574054474708
200,5,5,5,3.894095118218624,3.807630973064516,3.812897956691729,3.075516981945525
210,5,5,5,3.8461903457489877,3.714075809516129,3.757384240150376,3.055162314863813
220,5,5,5,3.781405033360324,3.7365399837096773,3.660748910075188,3.0249581528404668
