radius_mm,payload_mass_g,model_velocity_m_s,moving_mass_kg,model_max_kinetic_energy_j,inertia_kg_m2,torque_cap_nm,friction_nm
5,20.0,6.157767134835063,0.0375,0.7109643016285278,5e-05,0.26,0.0
5,30.0,6.0366305622378515,0.0475,0.8654715779424219,5e-05,0.26,0.0
5,40.0,5.922133056901464,0.0575,1.0083102233797958,5e-05,0.26,0.0
5,50.0,5.813679999962628,0.0675,1.1407120360413343,5e-05,0.26,0.0
5,60.0,5.710748898537902,0.0775,1.2637403030583845,5e-05,0.26,0.0
5,70.0,5.612878506159651,0.0875,1.3783177242147686,5e-05,0.26,0.0
5,80.0,5.519659884590853,0.0975,1.4852489555261237,5e-05,0.26,0.0
5,90.0,5.4307290103958685,0.1075,1.585238945159097,5e-05,0.26,0.0
5,100.0,5.345760620302943,0.1175,1.678907950812925,5e-05,0.26,0.0
5,110.0,5.264463057259726,0.1275,1.766803919179842,5e-05,0.26,0.0
5,120.0,5.186573930376818,0.1375,1.8494127530494302,5e-05,0.26,0.0
5,130.0,5.111856441073316,0.1475,1.9271668752180278,5e-05,0.26,0.0
5,140.0,5.040096257824095,0.1575,2.0004524101904297,5e-05,0.26,0.0
5,150.0,4.9710988452314995,0.1675,2.069615237308938,5e-05,0.26,0.0
5,160.0,4.904687171359318,0.1775,2.1349661170895793,5e-05,0.26,0.0
5,170.0,4.840699731593308,0.1875,2.1967850523232046,5e-05,0.26,0.0
5,180.0,4.77898883863538,0.1975,2.2553250140804018,5e-05,0.26,0.0
5,190.0,4.719419137275736,0.2075,2.3108151380532616,5e-05,0.26,0.0
5,200.0,4.661866309830418,0.2175,2.363463477117092,5e-05,0.26,0.0
5,210.0,4.606215943969662,0.2275,2.413459380432137,5e-05,0.26,0.0
5,220.0,4.552362539393459,0.2375,2.460975556946152,5e-05,0.26,0.0
7,20.0,7.05630182305112,0.0375,0.9335886640873979,5e-05,0.26,0.0
7,30.0,6.82463371083053,0.0475,1.1061711005663566,5e-05,0.26,0.0
7,40.0,6.6138477898614045,0.0575,1.2576107493893194,5e-05,0.26,0.0
7,50.0,6.42094712980476,0.0675,1.3914639689764945,5e-05,0.26,0.0
7,60.0,6.243505244327741,0.0775,1.5105276122679852,5e-05,0.26,0.0
7,70.0,6.079533602686595,0.0875,1.617031886146051,5e-05,0.26,0.0
7,80.0,5.927384916440359,0.0975,1.7127772324476784,5e-05,0.26,0.0
7,90.0,5.785681316733881,0.1075,1.7992333210606881,5e-05,0.26,0.0
7,100.0,5.653260188379509,0.1175,1.8776118570041072,5e-05,0.26,0.0
7,110.0,5.529132749227939,0.1275,1.9489209461097878,5e-05,0.26,0.0
7,120.0,5.412451975249223,0.1375,2.014006251426071,5e-05,0.26,0.0
7,130.0,5.302487476933888,0.1475,2.073582541424252,5e-05,0.26,0.0
7,140.0,5.1986056137095815,0.1575,2.128258150742806,5e-05,0.26,0.0
7,150.0,5.100253602587032,0.1675,2.178554145396293,5e-05,0.26,0.0
7,160.0,5.006946706068386,0.1775,2.224919484420054,5e-05,0.26,0.0
7,170.0,4.918257817993739,0.1875,2.2677431216490502,5e-05,0.26,0.0
7,180.0,4.833808934246219,0.1975,2.3073637452638587,5e-05,0.26,0.0
7,190.0,4.753264117890802,0.2075,2.344077676596928,5e-05,0.26,0.0
7,200.0,4.6763236587687835,0.2175,2.378145322069722,5e-05,0.26,0.0
7,210.0,4.602719194978619,0.2275,2.4097964786150508,5e-05,0.26,0.0
7,220.0,4.532209614412509,0.2375,2.439234723690566,5e-05,0.26,0.0
9,20.0,7.57370388912313,0.0375,1.075518573752228,5e-05,0.26,0.0
9,30.0,7.229209062381834,0.0475,1.2412097621060614,5e-05,0.26,0.0
9,40.0,6.926892961894,0.0575,1.379478075534178,5e-05,0.26,0.0
9,50.0,6.65870855369049,0.0675,1.4964209866009428,5e-05,0.26,0.0
9,60.0,6.418609059185762,0.0775,1.5964435123681344,5e-05,0.26,0.0
9,70.0,6.201950684786699,0.0875,1.6828084129730214,5e-05,0.26,0.0
9,80.0,6.005099837679245,0.0975,1.7579846729491455,5e-05,0.26,0.0
9,90.0,5.825166918680915,0.1075,1.8238756176390796,5e-05,0.26,0.0
9,100.0,5.659821142620374,0.1175,1.8819725527790898,5e-05,0.26,0.0
9,110.0,5.507158760807371,0.1275,1.9334608480670081,5e-05,0.26,0.0
9,120.0,5.365607387961811,0.1375,1.979294806620338,5e-05,0.26,0.0
9,130.0,5.233855295093162,0.1475,2.020251542185636,5e-05,0.26,0.0
9,140.0,5.110798315802526,0.1575,2.056970429703783,5e-05,0.26,0.0
9,150.0,4.995499404069551,0.1675,2.089982447294961,5e-05,0.26,0.0
9,160.0,4.887157427757752,0.1775,2.1197323104772896,5e-05,0.26,0.0
9,170.0,4.785082803919351,0.1875,2.146595385034188,5e-05,0.26,0.0
9,180.0,4.688678270622679,0.1975,2.1708907626341665,5e-05,0.26,0.0
9,190.0,4.597423562421627,0.2075,2.1928914790271166,5e-05,0.26,0.0
9,200.0,4.510863085935077,0.2175,2.2128325785806258,5e-05,0.26,0.0
9,210.0,4.428595925057001,0.2275,2.2309175374203307,5e-05,0.26,0.0
9,220.0,4.350267672499191,0.2375,2.2473234226589938,5e-05,0.26,0.0
